X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
532938.44;152481.03;7.01;18;23.25;0.389;5.44;0.2306;0.2926;0.146;;;;;;;;;;;
533121.79;152627.9;5.75;10.2;107;0.564;11.68;0.5369;1.3009;0.650;;;;;;;;;;;
532791.84;152202.07;6.74;19.2;45;0.351;7.57;0.3352;0.5945;0.297;;;;;;;;;;;
533014.9;152605.78;4.59;6.3;115;0.729;12.10;0.5579;1.1216;0.561;;;;;;;;;;;
533408.05;152694.43;5.95;11.8;109.75;0.504;11.82;0.5442;1.3832;0.692;;;;;;;;;;;
533049.51;152385.75;7.1;13.1;173.5;0.542;14.87;0.6937;2.6820;1.341;;;;;;;;;;;
532754.4;152515.42;6.21;19.6;129.25;0.317;12.83;0.5937;1.7182;0.859;;;;;;;;;;;
533065.1;153155.02;17.86;24.9;206;0.717;16.20;0.7592;8.0806;4.040;;;;;;;;;;;
533129.42;152849.4;13.82;19.4;221.25;0.712;16.79;0.7881;6.7385;3.369;;;;;;;;;;;
532842.77;152277.49;13.76;19;31.25;0.724;6.31;0.2732;0.8062;0.403;;;;;;;;;;;
533080.63;153117.14;11.81;19.9;173.5;0.593;14.87;0.6937;4.4613;2.231;;;;;;;;;;;
532619.37;152086.99;5.21;12.2;37.5;0.427;6.91;0.3028;0.3749;0.187;;;;;;;;;;;
532612.88;151972.29;15.14;17.8;224.75;0.851;16.92;0.7946;7.5044;3.752;;;;;;;;;;;
533338.79;152569.44;6.81;19.1;58;0.357;8.60;0.3855;0.7946;0.397;;;;;;;;;;;
532758.76;152252.78;7.35;17.3;72;0.425;9.58;0.4338;1.0856;0.543;;;;;;;;;;;
533140.22;152254.58;5.96;7.7;4.5;0.774;2.39;0.0808;0.0305;0.015;;;;;;;;;;;
533287.15;152706.69;14.85;21.5;203.5;0.691;16.10;0.7543;6.6333;3.317;;;;;;;;;;;
533085.57;152789.12;6.75;11.2;188.75;0.603;15.51;0.7251;2.7861;1.393;;;;;;;;;;;
532962.04;152894.94;9.32;15.3;117.5;0.609;12.23;0.5643;2.3301;1.165;;;;;;;;;;;
533287.02;152739.47;12.84;19.9;251;0.645;17.88;0.8418;7.1432;3.572;;;;;;;;;;;
533249.34;152720.89;6.38;15.4;136;0.414;13.16;0.6099;1.8633;0.932;;;;;;;;;;;
533384.76;152712.87;14.62;20.1;170.5;0.727;14.74;0.6874;5.4222;2.711;;;;;;;;;;;
532622.11;152112.38;4.59;11;57;0.417;8.52;0.3819;0.5255;0.263;;;;;;;;;;;
532678.47;152310.79;6.2;11;164.5;0.564;14.48;0.6745;2.2142;1.107;;;;;;;;;;;
533162.9;152856.79;6.61;13.2;179.75;0.501;15.13;0.7067;2.5917;1.296;;;;;;;;;;;
532626.16;151983.26;16.63;19.5;220;0.853;16.74;0.7858;8.0607;4.030;;;;;;;;;;;
533411.29;152663.76;9.22;16.6;231.75;0.555;17.18;0.8075;4.7191;2.360;;;;;;;;;;;
533058.93;153187.04;8.77;16;214.25;0.548;16.52;0.7750;4.1346;2.067;;;;;;;;;;;
532950.5;152379.85;8.54;17.2;106.25;0.497;11.63;0.5348;1.9177;0.959;;;;;;;;;;;
533404.89;152608.03;5.2;8.7;135.75;0.598;13.15;0.6094;1.5157;0.758;;;;;;;;;;;
532937.66;152902.04;7.99;12.5;126.5;0.639;12.69;0.5869;2.1608;1.080;;;;;;;;;;;
532890.82;152446.71;12.56;20.8;37;0.604;6.87;0.3005;0.8904;0.445;;;;;;;;;;;
533246.19;152704.53;18.12;25.1;198.25;0.722;15.89;0.7441;7.8750;3.938;;;;;;;;;;;
533160.2;152914.26;17.7;23.4;201;0.756;16.00;0.7495;7.8045;3.902;;;;;;;;;;;
533101.53;152911.71;18.85;25.3;196;0.745;15.80;0.7396;8.0947;4.047;;;;;;;;;;;
533485.11;152700.9;11.81;20.5;161.75;0.576;14.35;0.6685;4.1434;2.072;;;;;;;;;;;
533192.09;152638.56;6.54;12.1;159.25;0.540;14.24;0.6631;2.2571;1.129;;;;;;;;;;;
532989.41;153052.85;6.4;11.9;134.5;0.538;13.09;0.6064;1.8472;0.924;;;;;;;;;;;
533507.52;152384;19.77;34.4;32;0.575;6.38;0.2769;1.1898;0.595;;;;;;;;;;;
533235.73;152418.12;8.76;14.2;162.25;0.617;14.38;0.6696;3.0833;1.542;;;;;;;;;;;
533172.55;152793.43;15.6;22.9;181;0.681;15.18;0.7093;6.1614;3.081;;;;;;;;;;;
532869.1;152335.49;6.28;20.2;100;0.311;11.29;0.5178;1.3216;0.661;;;;;;;;;;;
533284.29;152685.85;7.29;12.9;138.5;0.565;13.28;0.6159;2.1705;1.085;;;;;;;;;;;
532933.07;152572.49;7.85;20.4;38;0.385;6.96;0.3050;0.5734;0.287;;;;;;;;;;;
533139.34;152893.94;17.84;26.2;213.75;0.681;16.50;0.7740;8.3901;4.195;;;;;;;;;;;
532708.83;152403.42;4.25;9;83.75;0.472;10.33;0.4707;0.7392;0.370;;;;;;;;;;;
533436.97;152726.71;21.46;28.3;104.75;0.758;11.55;0.5308;4.7462;2.373;;;;;;;;;;;
533431.56;152400.95;7.43;11.8;178.5;0.630;15.08;0.7041;2.8919;1.446;;;;;;;;;;;
532760.99;152158.66;4.25;10.5;37.75;0.405;6.93;0.3039;0.3081;0.154;;;;;;;;;;;
532663.93;152020.07;13.49;17.6;185.75;0.766;15.38;0.7190;5.4751;2.738;;;;;;;;;;;
532657.82;151968.32;12.13;16.7;215.5;0.726;16.57;0.7773;5.7537;2.877;;;;;;;;;;;
532999.58;153099.91;6.93;11.9;110.75;0.582;11.88;0.5468;1.6267;0.813;;;;;;;;;;;
533041.85;153149.74;5.64;11.4;54.25;0.495;8.31;0.3717;0.6115;0.306;;;;;;;;;;;
533064.21;152409.52;17.44;22.2;140;0.786;13.35;0.6194;5.2522;2.626;;;;;;;;;;;
532924.55;152322.89;9.13;17;24.25;0.537;5.56;0.2363;0.4001;0.200;;;;;;;;;;;
532773.59;152564.51;4.28;7.2;93;0.594;10.88;0.4980;0.8333;0.417;;;;;;;;;;;
533066.12;152930.7;7.79;12.8;71.75;0.609;9.56;0.4329;1.1462;0.573;;;;;;;;;;;
533367.95;152713.4;18.22;23.3;166.75;0.782;14.57;0.6793;6.6008;3.300;;;;;;;;;;;
532962.45;153011.89;7.22;15.5;47.75;0.466;7.80;0.3464;0.6801;0.340;;;;;;;;;;;
533174.34;152890.27;9.69;18.2;167.75;0.532;14.62;0.6815;3.5327;1.766;;;;;;;;;;;
533420.83;152390.85;6.66;10.7;207.25;0.622;16.25;0.7616;3.0324;1.516;;;;;;;;;;;
532638.64;151990.21;17.02;19.9;214.75;0.855;16.54;0.7759;8.0437;4.022;;;;;;;;;;;
533035.06;152999.11;4.46;12.1;82.25;0.369;10.24;0.4661;0.7608;0.380;;;;;;;;;;;
533101.18;153050.28;7.04;12.1;170.75;0.582;14.75;0.6879;2.6150;1.307;;;;;;;;;;;
533135.71;152784.05;8.65;13.9;166.5;0.622;14.56;0.6788;3.1288;1.564;;;;;;;;;;;
532954.62;152136.24;8.28;16;45.75;0.518;7.63;0.3383;0.7438;0.372;;;;;;;;;;;
533126.06;152832.81;7.29;15.3;182.25;0.476;15.24;0.7119;2.9002;1.450;;;;;;;;;;;
533313.96;152372.64;4.24;8.8;48;0.482;7.82;0.3474;0.4017;0.201;;;;;;;;;;;
533210.27;152842.34;5.87;9.2;129;0.638;12.82;0.5931;1.6208;0.810;;;;;;;;;;;
533466.7;152247.36;4.6;8.8;29.75;0.523;6.16;0.2657;0.2548;0.127;;;;;;;;;;;
533195.14;152624.34;8.42;16.1;131.25;0.523;12.93;0.5985;2.3680;1.184;;;;;;;;;;;
533107.42;152927.19;10.64;17.1;148.25;0.622;13.74;0.6384;3.4046;1.702;;;;;;;;;;;
532760.96;152326.83;11.36;21;63;0.541;8.96;0.4034;1.4509;0.725;;;;;;;;;;;
533076.83;153184.95;12.26;19.2;181.5;0.639;15.21;0.7103;4.8563;2.428;;;;;;;;;;;
533147.68;152828.66;15.14;21.3;181.25;0.711;15.20;0.7098;5.9884;2.994;;;;;;;;;;;
533273.66;152708.11;19.26;22.9;199;0.841;15.92;0.7455;8.4037;4.202;;;;;;;;;;;
533107.55;152207.69;4.2;6.8;18;0.618;4.79;0.1985;0.1298;0.065;;;;;;;;;;;
533136.86;152817.16;10.91;17.6;233.25;0.620;17.24;0.8102;5.6218;2.811;;;;;;;;;;;
533473.13;152476.78;6.16;12.1;126;0.509;12.67;0.5857;1.6589;0.829;;;;;;;;;;;
533009.05;152342.19;5.73;11.6;90.5;0.494;10.74;0.4908;1.0834;0.542;;;;;;;;;;;
533371.15;152439.41;6.67;16.3;45.5;0.409;7.61;0.3373;0.5956;0.298;;;;;;;;;;;
532791.61;152235.09;5.06;7.8;65.25;0.649;9.12;0.4112;0.6715;0.336;;;;;;;;;;;
533370.69;152686.82;16.65;24.1;157.75;0.691;14.18;0.6597;5.6891;2.845;;;;;;;;;;;
533232.01;152574.63;5.77;9.2;86.75;0.627;10.51;0.4797;1.0424;0.521;;;;;;;;;;;
533397.39;152532.53;4.51;12.2;102.75;0.370;11.44;0.5253;0.9771;0.489;;;;;;;;;;;
532816.09;152600.21;5;10.8;47;0.463;7.74;0.3434;0.4628;0.231;;;;;;;;;;;
532861.75;152674.98;5.2;11.6;136;0.448;13.16;0.6099;1.5186;0.759;;;;;;;;;;;
533105.03;152776.96;7.38;11.6;162;0.636;14.37;0.6691;2.5934;1.297;;;;;;;;;;;
532904.8;152381.42;8.84;14.9;198.25;0.593;15.89;0.7441;3.8419;1.921;;;;;;;;;;;
532844;152435.88;14.42;21.9;24.75;0.658;5.62;0.2391;0.6470;0.323;;;;;;;;;;;
533057.36;153213.4;9.53;15;293.5;0.635;19.34;0.9133;6.2404;3.120;;;;;;;;;;;
532936.53;152164.79;5.75;15.7;91.75;0.366;10.81;0.4944;1.1033;0.552;;;;;;;;;;;
532803.79;152291.87;13.26;20.1;38.5;0.660;7.00;0.3073;0.9828;0.491;;;;;;;;;;;
533393.88;152301.71;6.6;10.6;57.5;0.623;8.56;0.3837;0.7628;0.381;;;;;;;;;;;
532683.87;152023.37;11.22;18;148.5;0.623;13.75;0.6390;3.5966;1.798;;;;;;;;;;;
533149.07;152774.1;10.56;16.9;224.5;0.625;16.91;0.7942;5.2282;2.614;;;;;;;;;;;
533338.35;152477.51;5.73;15.3;43;0.375;7.40;0.3268;0.4805;0.240;;;;;;;;;;;
533245.86;152763;18.23;22.7;194.25;0.803;15.73;0.7361;7.7551;3.878;;;;;;;;;;;
532893.2;152585.94;6.87;16.5;23;0.416;5.41;0.2291;0.2831;0.142;;;;;;;;;;;
532887.35;152647.77;4.63;7.4;31.75;0.626;6.36;0.2757;0.2762;0.138;;;;;;;;;;;
533079;153133.77;14.91;22.2;178;0.672;15.06;0.7031;5.7862;2.893;;;;;;;;;;;
533351.54;152388.22;6.15;10.3;39;0.597;7.05;0.3095;0.4625;0.231;;;;;;;;;;;
532894.06;152520.07;7.46;17.2;51.5;0.434;8.10;0.3612;0.7639;0.382;;;;;;;;;;;
532956.16;152420.86;8.98;18.1;134.5;0.496;13.09;0.6064;2.5919;1.296;;;;;;;;;;;
533498.06;152568.84;9.88;15.2;96.75;0.650;11.10;0.5087;2.0069;1.003;;;;;;;;;;;
533049.08;153093.18;6.55;12.8;127;0.512;12.72;0.5882;1.7788;0.889;;;;;;;;;;;
533311.96;152691.95;19.46;23.9;186.25;0.814;15.40;0.7201;7.9205;3.960;;;;;;;;;;;
533470.02;152315.88;6;11.3;174.75;0.531;14.92;0.6963;2.2837;1.142;;;;;;;;;;;
533168.66;152779.49;17.01;23.5;199.25;0.724;15.93;0.7460;7.4317;3.716;;;;;;;;;;;
533020.08;152524.74;9.39;16.4;24;0.573;5.53;0.2349;0.4066;0.203;;;;;;;;;;;
533129.06;152952.53;12.86;20.1;237.5;0.640;17.39;0.8179;6.7529;3.376;;;;;;;;;;;
533205.27;152914.63;5.6;8.2;68.5;0.683;9.34;0.4222;0.7835;0.392;;;;;;;;;;;
533238.16;152373.75;8.92;16.4;151.75;0.544;13.90;0.6464;2.9255;1.463;;;;;;;;;;;
533104.47;152837.18;6.18;11.3;102.25;0.547;11.41;0.5240;1.3319;0.666;;;;;;;;;;;
533469.45;152607.07;7.56;12;168.5;0.630;14.65;0.6831;2.7692;1.385;;;;;;;;;;;
533152.21;152399.43;4.81;16.1;82.75;0.299;10.27;0.4677;0.8258;0.413;;;;;;;;;;;
533348.26;152679.31;6.08;9.2;116.5;0.661;12.18;0.5618;1.5063;0.753;;;;;;;;;;;
532621.2;152029.11;13.06;17.3;192.75;0.755;15.67;0.7332;5.5107;2.755;;;;;;;;;;;
533041.62;152668.03;4.4;11.7;26;0.376;5.76;0.2460;0.2089;0.104;;;;;;;;;;;
533498;152555.12;9.58;14;103.75;0.684;11.50;0.5281;2.0971;1.049;;;;;;;;;;;
533280.03;152724.27;16.74;22.1;205.5;0.757;16.18;0.7582;7.5546;3.777;;;;;;;;;;;
532697.67;151996.99;11.92;16.4;197.25;0.727;15.85;0.7421;5.1530;2.577;;;;;;;;;;;
533188;152762.62;8.73;18.8;160.5;0.464;14.30;0.6658;3.0378;1.519;;;;;;;;;;;
533204.44;152652.94;10.52;17.4;228.5;0.605;17.06;0.8015;5.3055;2.653;;;;;;;;;;;
532989.32;152554.5;19.15;26.3;26.75;0.728;5.84;0.2500;0.9395;0.470;;;;;;;;;;;
533330.94;152706.91;17.93;23.3;159.5;0.770;14.25;0.6636;6.1982;3.099;;;;;;;;;;;
533431.91;152698.73;8.88;14;116;0.634;12.16;0.5605;2.1899;1.095;;;;;;;;;;;
532737.33;152473.02;5.51;21.2;141.25;0.260;13.41;0.6223;1.6751;0.838;;;;;;;;;;;
533459.49;152716.94;14.34;18.5;195.5;0.775;15.78;0.7386;6.1415;3.071;;;;;;;;;;;
532612.15;151987.49;14.04;18.2;218.5;0.771;16.68;0.7830;6.7568;3.378;;;;;;;;;;;
533255.16;152733.11;19.45;23.4;180;0.831;15.14;0.7073;7.6373;3.819;;;;;;;;;;;
532679.53;152280.01;7.41;11.6;137.25;0.639;13.22;0.6129;2.1852;1.093;;;;;;;;;;;
533119.58;152549.63;9.92;19.7;133.5;0.504;13.04;0.6040;2.8406;1.420;;;;;;;;;;;
532763.95;152542.91;4.65;7;97;0.664;11.12;0.5094;0.9472;0.474;;;;;;;;;;;
533338.24;152530.8;5.89;15.6;56;0.378;8.45;0.3782;0.6613;0.331;;;;;;;;;;;
533474.07;152549.68;5.99;12.1;107.5;0.495;11.70;0.5382;1.3620;0.681;;;;;;;;;;;
532829.45;152217.17;5.54;7.1;25.5;0.780;5.70;0.2432;0.2573;0.129;;;;;;;;;;;
533344.38;152339.39;17.61;23.6;170.25;0.746;14.73;0.6868;6.5210;3.261;;;;;;;;;;;
532884.37;152679.7;5.52;8.6;96;0.642;11.06;0.5066;1.1119;0.556;;;;;;;;;;;
533151.63;152660.3;5.6;8.8;29.25;0.636;6.10;0.2631;0.3043;0.152;;;;;;;;;;;
532954.58;152555.33;3.94;7.8;41.25;0.505;7.25;0.3194;0.3154;0.158;;;;;;;;;;;
533127.94;153019.92;6.85;12.7;127.25;0.539;12.73;0.5888;1.8642;0.932;;;;;;;;;;;
533119.54;152586.71;5.74;12.6;90.25;0.456;10.72;0.4900;1.0820;0.541;;;;;;;;;;;
533401.69;152346.26;8.27;13.4;166;0.617;14.54;0.6777;2.9819;1.491;;;;;;;;;;;
532897.49;152331.28;9.07;17.2;37.25;0.527;6.89;0.3016;0.6479;0.324;;;;;;;;;;;
533170.85;152925.46;8.63;16.9;174.5;0.511;14.91;0.6958;3.2798;1.640;;;;;;;;;;;
533370.18;152572.37;6.15;19.1;58;0.322;8.60;0.3855;0.7176;0.359;;;;;;;;;;;
533392.56;152687.02;15.17;21.8;114;0.696;12.05;0.5553;3.6724;1.836;;;;;;;;;;;
533337.81;152441.16;8.23;16.4;31.75;0.502;6.36;0.2757;0.4909;0.245;;;;;;;;;;;
533259.74;152770.12;14.45;21;249.25;0.688;17.82;0.8388;7.9804;3.990;;;;;;;;;;;
533052.19;153059.28;7.02;12.2;95.75;0.575;11.04;0.5059;1.4101;0.705;;;;;;;;;;;
532994.45;152379.96;9.04;16.6;138.5;0.545;13.28;0.6159;2.6916;1.346;;;;;;;;;;;
533070.82;153061.1;8.1;13.4;187.75;0.604;15.47;0.7231;3.3247;1.662;;;;;;;;;;;
533173.24;152822.14;16.81;22;193.75;0.764;15.71;0.7352;7.1317;3.566;;;;;;;;;;;
533160.79;152895.65;14.3;21.6;214.75;0.662;16.54;0.7759;6.7582;3.379;;;;;;;;;;;
533417.86;152372.84;6.77;11.4;183.25;0.594;15.28;0.7139;2.7088;1.354;;;;;;;;;;;
532791.48;152440.62;13.39;21.9;22;0.611;5.29;0.2233;0.5241;0.262;;;;;;;;;;;
532803.2;152574.95;6.61;13.6;64;0.486;9.03;0.4068;0.8589;0.429;;;;;;;;;;;
533141.17;152983.69;5.11;9;101.25;0.568;11.36;0.5212;1.0898;0.545;;;;;;;;;;;
533296.02;152386.62;5.4;8;112.75;0.675;11.98;0.5521;1.2920;0.646;;;;;;;;;;;
532638.83;152139.55;5.11;15.5;74.75;0.330;9.76;0.4427;0.7860;0.393;;;;;;;;;;;
532794.21;152087.9;4.61;18.2;14.25;0.253;4.26;0.1725;0.1077;0.054;;;;;;;;;;;
532756.8;152283.12;11.71;21;63;0.558;8.96;0.4034;1.4956;0.748;;;;;;;;;;;
533156.13;152445.91;6.5;16.1;85.25;0.404;10.42;0.4752;1.1524;0.576;;;;;;;;;;;
533151.81;152868.94;17.45;22.4;196;0.779;15.80;0.7396;7.4935;3.747;;;;;;;;;;;
532719.05;152126.12;6.67;18;29.75;0.371;6.16;0.2657;0.3695;0.185;;;;;;;;;;;
533087.56;152890.35;10.43;16.6;156;0.628;14.10;0.6559;3.5220;1.761;;;;;;;;;;;
532960.26;152633.72;8.3;26.7;19.25;0.311;4.95;0.2065;0.2778;0.139;;;;;;;;;;;
533268.81;152663.78;5.16;8.7;170.5;0.593;14.74;0.6874;1.9137;0.957;;;;;;;;;;;
533373.63;152222.83;3.94;10.4;16.5;0.379;4.58;0.1884;0.1098;0.055;;;;;;;;;;;
533338.82;152695.76;19.31;22.9;170.25;0.843;14.73;0.6868;7.1505;3.575;;;;;;;;;;;
532655.65;151987.09;16.61;20.2;251.25;0.822;17.89;0.8423;9.2501;4.625;;;;;;;;;;;
532851.75;152253.99;5.16;17.3;53.25;0.298;8.24;0.3679;0.5482;0.274;;;;;;;;;;;
533305.18;152417.22;4.74;13.9;102.75;0.341;11.44;0.5253;1.0269;0.513;;;;;;;;;;;
532926.76;152912.96;8.37;12.1;152.5;0.692;13.94;0.6481;2.7595;1.380;;;;;;;;;;;
533030.57;153110.58;6.68;11;94.25;0.607;10.96;0.5016;1.3193;0.660;;;;;;;;;;;
533301.29;152583.16;4.39;16.1;78.25;0.273;9.98;0.4538;0.7096;0.355;;;;;;;;;;;
533060.58;153077.64;9.04;14.3;207.75;0.632;16.27;0.7626;4.1265;2.063;;;;;;;;;;;
533122.29;152791.83;7.42;14.1;183.75;0.526;15.30;0.7150;2.9774;1.489;;;;;;;;;;;
532598.76;151974.13;10.54;15.4;209.75;0.684;16.35;0.7664;4.8598;2.430;;;;;;;;;;;
532994.12;152599.4;9.47;27.7;56.75;0.342;8.50;0.3810;1.0789;0.539;;;;;;;;;;;
532669.46;151978.81;13.14;18.6;212.75;0.706;16.46;0.7721;6.1494;3.075;;;;;;;;;;;
533119.73;152862.77;12.65;19.3;156.5;0.655;14.12;0.6570;4.2862;2.143;;;;;;;;;;;
533117.92;152913.6;18.12;23.8;185;0.761;15.35;0.7175;7.3231;3.662;;;;;;;;;;;
532920.29;152129.32;8.01;18.2;22.75;0.440;5.38;0.2277;0.3260;0.163;;;;;;;;;;;
532755.39;152235.06;4.94;7.6;66;0.650;9.17;0.4137;0.6638;0.332;;;;;;;;;;;
533237.62;152268.64;4.27;8.1;6.75;0.527;2.93;0.1072;0.0385;0.019;;;;;;;;;;;
533248.12;152673.96;5.76;15.5;101.5;0.372;11.37;0.5219;1.2317;0.616;;;;;;;;;;;
532701.49;152289.68;4.27;7.2;45;0.593;7.57;0.3352;0.3766;0.188;;;;;;;;;;;
533172.38;152631.48;5.38;7.9;89.25;0.681;10.66;0.4871;1.0021;0.501;;;;;;;;;;;
533069.5;152427.71;7.25;10.9;90.25;0.665;10.72;0.4900;1.3667;0.683;;;;;;;;;;;
532996.85;152205.54;5.01;7;42.75;0.716;7.38;0.3258;0.4174;0.209;;;;;;;;;;;
532835.85;152317.55;7.58;18.7;79.5;0.405;10.06;0.4577;1.2463;0.623;;;;;;;;;;;
533069.18;152666.94;4.99;9.3;21.75;0.537;5.26;0.2218;0.1927;0.096;;;;;;;;;;;
533205.24;152441.11;5.39;15.8;126;0.341;12.67;0.5857;1.4515;0.726;;;;;;;;;;;
532960.27;152502.79;7.04;25.9;39;0.272;7.05;0.3095;0.5294;0.265;;;;;;;;;;;
532669.75;152184.67;6.04;9.8;17.75;0.616;4.76;0.1968;0.1837;0.092;;;;;;;;;;;
532799.73;152545.82;6.32;13.8;106.25;0.458;11.63;0.5348;1.4192;0.710;;;;;;;;;;;
533232.69;152591.23;6.29;11.1;147.75;0.567;13.72;0.6373;2.0055;1.003;;;;;;;;;;;
533043.62;152581.91;10.5;18.3;204.75;0.574;16.15;0.7568;4.7204;2.360;;;;;;;;;;;
533049.99;153162.81;6;18.9;120.75;0.317;12.40;0.5726;1.5443;0.772;;;;;;;;;;;
533158.1;152934.49;18.18;25.5;246.5;0.713;17.72;0.8339;9.9247;4.962;;;;;;;;;;;
533107.05;152370.29;4.13;8.4;36.25;0.492;6.80;0.2971;0.2861;0.143;;;;;;;;;;;
533319.75;152678.21;6.45;12.4;163;0.520;14.41;0.6712;2.2813;1.141;;;;;;;;;;;
533132.89;153143.86;4.45;14.5;65;0.307;9.10;0.4103;0.5881;0.294;;;;;;;;;;;
533337.22;152657.49;5.87;9.1;173.25;0.645;14.86;0.6932;2.2140;1.107;;;;;;;;;;;
532645.07;151961.23;10.8;15.7;197.75;0.688;15.87;0.7431;4.6813;2.341;;;;;;;;;;;
532606.11;152002.62;11.19;16.3;227.5;0.687;17.02;0.7997;5.6176;2.809;;;;;;;;;;;
533071.21;152882.03;8.31;12.4;72.25;0.670;9.59;0.4346;1.2320;0.616;;;;;;;;;;;
533251.17;152463.82;6.94;11.9;24.75;0.583;5.62;0.2391;0.3114;0.156;;;;;;;;;;;
533226.97;152762.39;15.14;20.7;173.25;0.731;14.86;0.6932;5.7105;2.855;;;;;;;;;;;
533068.58;153110.7;15.08;20;186.25;0.754;15.40;0.7201;6.1378;3.069;;;;;;;;;;;
533505.63;152339.67;13.08;24.1;25.5;0.543;5.70;0.2432;0.6074;0.304;;;;;;;;;;;
532659.91;152227.55;4.1;9;33.75;0.456;6.56;0.2854;0.2621;0.131;;;;;;;;;;;
533110.03;152443.28;6.94;20.6;146.5;0.337;13.66;0.6344;2.1929;1.096;;;;;;;;;;;
533103.36;152942.75;6.14;14.4;185.5;0.426;15.37;0.7185;2.4885;1.244;;;;;;;;;;;
533169.89;152153.68;3.97;4.3;1.75;0.923;1.49;0.0365;0.0042;0.002;;;;;;;;;;;
533495.06;152729.71;8.51;18.7;141;0.455;13.40;0.6217;2.5823;1.291;;;;;;;;;;;
533069.63;152394.76;5;8.4;74.75;0.595;9.76;0.4427;0.7691;0.385;;;;;;;;;;;
533460.01;152326.24;9.36;14;186.25;0.669;15.40;0.7201;3.8097;1.905;;;;;;;;;;;
532935.07;152190.96;5.35;15.7;95;0.341;11.00;0.5037;1.0657;0.533;;;;;;;;;;;
533157;152842.93;12.01;18.1;194.25;0.664;15.73;0.7361;5.1091;2.555;;;;;;;;;;;
533025.36;153062.42;6.62;14;72.5;0.473;9.61;0.4354;0.9851;0.493;;;;;;;;;;;
532828.59;152392.35;8.24;20.4;61.25;0.404;8.83;0.3972;1.0206;0.510;;;;;;;;;;;
532820;152357.01;7.1;20.4;49;0.348;7.90;0.3514;0.6882;0.344;;;;;;;;;;;
533405.01;152679.89;15.87;24.2;141.75;0.656;13.44;0.6235;4.8427;2.421;;;;;;;;;;;
533377.48;152276.78;9.15;15.5;111.5;0.590;11.92;0.5488;2.1633;1.082;;;;;;;;;;;
533053.22;152145.93;3.94;5;11.25;0.788;3.79;0.1492;0.0688;0.034;;;;;;;;;;;
533269.39;152748.41;15.34;20.3;169.5;0.756;14.69;0.6852;5.6541;2.827;;;;;;;;;;;
533411.54;152705.05;19.66;24.7;136.75;0.796;13.20;0.6117;5.7752;2.888;;;;;;;;;;;
532623.1;152046.25;11.48;16.2;188.75;0.709;15.51;0.7251;4.7385;2.369;;;;;;;;;;;
533219.68;152710.13;6.57;11.3;124;0.581;12.57;0.5808;1.7395;0.870;;;;;;;;;;;
533207.77;152762.01;13.47;19.9;197.5;0.677;15.86;0.7426;5.8309;2.915;;;;;;;;;;;
532603.53;151959.96;5.8;13.7;133.75;0.423;13.05;0.6046;1.6642;0.832;;;;;;;;;;;
532642.72;152002.72;16.39;19.6;207.75;0.836;16.27;0.7626;7.4816;3.741;;;;;;;;;;;
533078.63;153167.13;13.46;20.9;192.25;0.644;15.65;0.7322;5.6640;2.832;;;;;;;;;;;
533013.47;152622.84;4.96;8.2;132.5;0.605;12.99;0.6016;1.4090;0.705;;;;;;;;;;;
533396.01;152313.36;10.18;14.6;95;0.697;11.00;0.5037;2.0277;1.014;;;;;;;;;;;
533167.76;152370.65;5.91;15.9;33.25;0.372;6.51;0.2830;0.3715;0.186;;;;;;;;;;;
533197.61;152804.84;6.22;10.8;100.25;0.576;11.30;0.5185;1.3125;0.656;;;;;;;;;;;
533142.96;152946.78;27.8;32.6;166;0.853;14.54;0.6777;10.0237;5.012;;;;;;;;;;;
533436.8;152479.71;7.46;12.1;21;0.617;5.17;0.2173;0.2765;0.138;;;;;;;;;;;
533049.28;153021.76;5.93;11.4;40.75;0.520;7.20;0.3172;0.4684;0.234;;;;;;;;;;;
533421.42;152288.46;7.66;11.7;159.25;0.655;14.24;0.6631;2.6436;1.322;;;;;;;;;;;
533301.58;152655.39;4.63;7.1;183.25;0.652;15.28;0.7139;1.8526;0.926;;;;;;;;;;;
533115.5;152963.05;6.94;12.7;200.75;0.546;15.99;0.7490;3.0561;1.528;;;;;;;;;;;
533165.3;152980.51;4.83;8.3;37;0.582;6.87;0.3005;0.3424;0.171;;;;;;;;;;;
533281.9;152587.27;5.77;17.4;118;0.332;12.26;0.5656;1.4491;0.725;;;;;;;;;;;
533084.75;153035.26;8.85;15.9;120;0.557;12.36;0.5707;2.2628;1.131;;;;;;;;;;;
533209.81;152585.64;5.59;12.6;108.75;0.444;11.77;0.5415;1.2868;0.643;;;;;;;;;;;
533380.17;152476.73;6.35;15.9;24.5;0.399;5.59;0.2377;0.2816;0.141;;;;;;;;;;;
533284.3;152755.97;8.45;14.8;169;0.571;14.67;0.6842;3.1049;1.552;;;;;;;;;;;
533143.11;153019.93;6.64;10.9;100.75;0.609;11.33;0.5198;1.4086;0.704;;;;;;;;;;;
533167.26;152950.12;8.67;15.8;121.75;0.549;12.45;0.5751;2.2512;1.126;;;;;;;;;;;
533159.4;152800.82;9.13;15.3;177.75;0.597;15.05;0.7026;3.5379;1.769;;;;;;;;;;;
533165.24;152526.39;5.62;15.9;13.25;0.353;4.11;0.1650;0.1202;0.060;;;;;;;;;;;
