OBJECTID;pointid;grid_code;POINT_X;POINT_Y
130;1579420;8.100000381;533209.25;152672.75
131;1579421;8.800000191;533209.75;152672.75
132;1579422;9.399999619;533210.25;152672.75
133;1579423;6.300000191;533210.75;152672.75
134;1579424;8.800000191;533211.25;152672.75
135;1579425;6.800000191;533211.75;152672.75
136;1579426;7.400000095;533212.25;152672.75
137;1579427;5.800000191;533212.75;152672.75
138;1580607;7.099999905;533207.75;152672.25
139;1580608;6.599999905;533208.25;152672.25
140;1580609;7.199999809;533208.75;152672.25
141;1580610;6.800000191;533209.25;152672.25
142;1580611;5.300000191;533209.75;152672.25
143;1580612;8.899999619;533210.25;152672.25
144;1580613;6;533210.75;152672.25
145;1580614;6.300000191;533211.25;152672.25
146;1580615;6.699999809;533211.75;152672.25
147;1580616;7.300000191;533212.25;152672.25
148;1581753;6.199999809;533207.75;152671.75
149;1581754;5.699999809;533208.25;152671.75
150;1581755;6.800000191;533208.75;152671.75
151;1581756;6.300000191;533209.25;152671.75
152;1581757;5.099999905;533209.75;152671.75
153;1581758;6.800000191;533210.25;152671.75
154;1581759;6.300000191;533210.75;152671.75
155;1581760;6.400000095;533211.25;152671.75
156;1581761;5.800000191;533211.75;152671.75
157;1582866;4.699999809;533208.75;152671.25
158;1582867;5.300000191;533209.25;152671.25
159;1582868;5.400000095;533209.75;152671.25
160;1582869;6.900000095;533210.25;152671.25
161;1582870;6.800000191;533210.75;152671.25
162;1582871;5.5;533211.25;152671.25
163;1583978;5;533208.75;152670.75
164;1583979;5.400000095;533209.25;152670.75
165;1583980;5.199999809;533209.75;152670.75
166;1586233;5.300000191;533174.75;152669.75
167;1586234;5.099999905;533175.25;152669.75
168;1586235;6.800000191;533176.25;152669.75
169;1586236;8.800000191;533178.75;152669.75
170;1586237;6.800000191;533179.25;152669.75
171;1587377;6.800000191;533174.75;152669.25
172;1587378;7.900000095;533175.25;152669.25
173;1587379;7.099999905;533175.75;152669.25
174;1587380;6.900000095;533176.25;152669.25
175;1587381;6.099999905;533176.75;152669.25
176;1587382;6.5;533177.75;152669.25
177;1587383;8.800000191;533178.75;152669.25
178;1587384;7.900000095;533179.25;152669.25
179;1587385;6.900000095;533179.75;152669.25
180;1588510;6.5;533172.75;152668.75
181;1588511;6.400000095;533173.25;152668.75
182;1588512;6.199999809;533173.75;152668.75
183;1588513;5.800000191;533174.25;152668.75
184;1588514;7.300000191;533174.75;152668.75
185;1588515;5.300000191;533175.25;152668.75
186;1588516;7.199999809;533175.75;152668.75
187;1588517;5.199999809;533176.25;152668.75
188;1588518;7.599999905;533176.75;152668.75
189;1588519;8;533177.25;152668.75
190;1588520;6.900000095;533177.75;152668.75
191;1588521;7.699999809;533178.75;152668.75
192;1588522;10.30000019;533179.25;152668.75
193;1588523;6.900000095;533180.75;152668.75
194;1588524;7.5;533182.75;152668.75
195;1588525;5.400000095;533183.25;152668.75
196;1588526;7;533186.75;152668.75
199;1589694;6;533172.75;152668.25
200;1589695;5.900000095;533173.25;152668.25
201;1589696;5.900000095;533173.75;152668.25
202;1589697;7.400000095;533174.25;152668.25
203;1589698;6.599999905;533174.75;152668.25
204;1589699;5.5;533175.25;152668.25
205;1589700;8.399999619;533175.75;152668.25
206;1589701;7.900000095;533176.25;152668.25
207;1589702;6;533176.75;152668.25
208;1589703;7;533177.25;152668.25
209;1589704;7.900000095;533177.75;152668.25
210;1589705;5.900000095;533178.25;152668.25
211;1589706;8.800000191;533178.75;152668.25
212;1589707;4.900000095;533179.25;152668.25
213;1589708;7.5;533180.25;152668.25
214;1589709;6.199999809;533181.75;152668.25
215;1589710;7.599999905;533182.25;152668.25
216;1589711;7.599999905;533182.75;152668.25
217;1589712;9;533183.25;152668.25
218;1589713;8.800000191;533184.25;152668.25
219;1589714;6;533184.75;152668.25
220;1589715;7.400000095;533185.25;152668.25
221;1589716;6.800000191;533185.75;152668.25
222;1589717;6.599999905;533186.25;152668.25
223;1589718;5.900000095;533186.75;152668.25
224;1589719;7.699999809;533187.25;152668.25
225;1589720;10.19999981;533187.75;152668.25
226;1589721;8;533188.25;152668.25
229;1590897;4.199999809;533172.25;152667.75
230;1590898;5;533172.75;152667.75
231;1590899;5.300000191;533173.25;152667.75
232;1590900;8.399999619;533173.75;152667.75
233;1590901;6.900000095;533174.25;152667.75
234;1590902;4.800000191;533174.75;152667.75
235;1590903;8.699999809;533175.25;152667.75
