533132.55 152987.25 4.65
533152.57 152399.25 4.83
532666.97 151991.15 16.72
533345.74 152706.68 16.53
532812.87 152439.93 14.83
533106.82 152842.76 6.30
533417.86 152372.84 6.77
533026.66 153126.99 5.29
533286.88 152661.52 5.45
532989.56 152551.41 19.41
532763.85 152251.73 7.61
533502.04 152531.48 5.64
533276.49 152770.96 9.14
532876.10 152647.26 4.46
533203.87 152652.84 10.22
532950.54 152380.01 8.49
532949.62 152912.13 7.82
532963.74 152169.09 15.41
533477.28 152712.18 12.85
533156.71 152792.43 10.91
533386.49 152346.61 8.68
533339.00 152530.94 5.79
533059.98 153078.16 9.20
533269.84 152352.40 4.15
533472.34 152604.45 8.29
533118.38 152914.10 18.45
533011.19 152641.65 5.33
532606.89 152020.18 9.46
532793.83 152611.47 4.50
533059.36 153215.90 10.10
533245.80 152704.90 17.61
532701.49 152289.68 4.27
533173.09 152878.45 9.22
533240.52 152550.77 5.23
533063.18 152425.45 6.64
533107.48 152564.69 8.27
533471.59 152317.77 5.64
533002.68 153030.94 4.32
532613.31 151979.58 15.00
532747.90 152497.88 6.09
533209.58 152412.14 4.18
533406.80 152673.22 11.88
532817.16 152335.84 7.93
533324.43 152600.13 10.93
532647.44 152131.89 6.09
533469.34 152418.22 6.94
533338.35 152477.51 5.73
533122.25 152791.77 7.37
533074.69 152345.65 5.82
532927.51 152307.35 8.01
533084.05 153108.06 10.84
532712.80 152410.24 5.08
533344.42 152339.51 17.65
533219.14 152753.07 6.41
533076.29 153188.50 11.08
532908.57 152387.10 9.99
533396.53 152440.39 9.57
533159.30 152936.54 17.54
532666.50 152018.19 14.20
533063.33 152183.53 3.88
533432.12 152617.69 8.76
533303.52 152693.28 17.92
533269.95 152736.88 19.35
533008.17 152350.05 6.34
533397.39 152532.53 4.51
533170.69 152839.63 14.01
533376.11 152271.65 7.80
533042.64 152577.49 9.50
533121.44 152876.93 15.74
532695.38 152013.14 12.52
533107.92 153025.61 5.75
532773.54 152564.52 4.28
532937.57 152529.19 4.71
533232.49 152590.42 6.28
533121.82 152627.93 5.76
533425.83 152710.67 7.45
533065.09 152927.68 7.70
533325.60 152678.54 6.80
532932.17 152226.89 5.30
533298.04 152402.87 6.91
532794.80 152087.69 4.36
532624.09 151950.41 10.89
533114.74 152936.71 10.14
533102.05 152911.53 17.88
532971.06 152431.77 7.37
533182.95 152770.95 7.27
532618.78 152049.21 11.16
533395.20 152308.97 8.83
533067.59 153148.09 19.38
533164.67 152567.61 6.94
533356.20 152605.37 8.84
533267.64 152695.80 10.15
533133.01 152847.52 13.17
533052.97 152477.47 5.24
533154.15 152475.32 5.66
532999.86 152973.69 4.68
532995.69 153072.58 6.88
532809.80 152265.78 6.04
533237.59 152374.36 8.83
533472.83 152477.08 6.19
532680.36 152328.68 5.25
533089.52 152777.86 7.10
533157.78 153009.20 7.43
533015.86 152585.98 4.86
533049.92 153026.91 6.82
533286.59 152437.95 8.34
533254.76 152751.74 17.65
532865.25 152689.87 6.80
532971.93 152699.20 6.36
533182.60 152831.08 8.79
533281.72 152588.00 5.69
532874.88 152350.27 8.65
532664.57 152225.65 4.17
532637.14 151999.21 16.72
533132.07 152907.72 21.81
533402.22 152211.08 7.33
533471.01 152382.37 5.50
532937.34 152481.46 7.04
533049.95 152704.07 7.32
533072.03 152882.25 8.27
532931.75 152571.20 7.82
532939.33 152895.12 11.02
533203.83 152610.75 12.13
532829.45 152217.17 5.54
533109.89 152443.41 7.05
533420.03 152298.60 9.57
532828.61 152392.46 8.29
533264.96 152712.34 18.38
533041.83 152592.94 11.53
533480.20 152724.59 22.08
533153.58 152955.44 13.69
533132.84 153143.86 4.46
533351.24 152656.59 6.29
533407.25 152581.05 4.92
533206.19 152908.30 5.58
533420.75 152411.20 6.14
533195.06 152757.12 9.05
533440.96 152323.74 7.99
532999.35 152274.43 5.08
532788.09 152202.09 7.75
532952.24 152972.19 5.79
533121.52 152811.37 7.96
532886.97 152518.65 8.04
532767.38 152286.01 7.36
533497.66 152603.92 9.13
533362.93 152709.88 19.90
533046.53 153192.91 6.49
