533488.41 152714.96 16.76 25.10 154.00
532667.91 152276.56 4.13 6.50 129.25
532993.33 152945.88 4.66 12.30 31.00
533203.99 152610.57 12.37 19.80 233.00
533352.47 152332.33 10.97 16.40 130.50
532644.47 151976.35 15.52 19.20 224.00
533157.56 152814.63 9.07 17.50 181.00
533054.81 152446.33 5.81 15.60 45.50
533066.96 153170.91 15.96 21.80 161.00
532786.25 152592.43 5.65 9.50 84.50
533322.54 152697.14 19.51 24.20 206.50
532799.70 152318.76 7.28 16.60 53.75
533473.33 152578.26 5.05 10.60 164.75
533007.72 152666.90 3.28 3.90 55.25
533073.77 153044.69 6.92 11.60 134.50
533153.96 152954.39 13.94 20.10 257.50
533430.58 152378.27 9.38 14.60 226.75
533065.00 152177.40 3.92 5.30 60.00
533239.25 152389.63 6.53 13.60 67.75
533141.10 152877.89 21.12 26.40 213.50
533241.78 152740.76 9.07 20.30 134.00
532903.29 152293.82 8.25 17.00 67.75
533285.37 152555.63 6.60 20.10 54.00
533009.67 152359.82 6.26 11.90 95.75
533015.92 152584.67 4.87 11.70 140.25
532729.71 152452.69 4.92 22.00 142.00
532911.89 152422.58 9.71 19.40 33.75
532874.01 152676.20 7.21 11.70 160.00
533417.59 152680.77 9.16 15.80 207.00
532611.65 152048.33 10.98 15.60 178.50
533089.81 152907.32 7.03 13.20 170.00
532963.83 152169.10 15.41 18.40 46.50
533420.04 152298.61 9.57 12.70 139.00
533113.42 152562.54 8.22 19.10 171.75
533123.45 152769.59 5.72 10.00 129.50
532930.45 152926.32 7.36 12.90 97.75
533353.16 152602.27 10.14 17.00 177.50
532758.02 152207.95 12.58 18.60 21.50
533425.93 152527.66 4.30 12.10 110.75
533067.09 153096.11 12.20 18.80 234.25
533297.18 152402.40 6.83 12.70 165.25
533008.98 153114.69 6.68 10.80 138.75
533198.72 152769.80 11.21 20.80 171.75
532926.78 152524.51 5.20 12.70 64.75
533251.48 152690.30 19.90 26.00 264.00
533206.09 152458.19 5.45 20.00 88.00
532630.66 151969.44 15.04 18.90 213.75
533126.46 152971.67 6.17 11.20 187.50
533187.45 152663.20 7.20 11.90 129.50
533447.27 152328.10 10.04 13.50 141.25
532695.57 152013.90 12.46 17.30 206.75
533469.56 152393.05 6.03 11.00 143.25
533255.46 152752.46 17.79 22.50 218.50
533169.97 152874.12 10.57 19.00 173.75
533140.12 152438.68 5.68 16.80 79.25
533375.99 152700.74 19.99 23.70 192.25
533415.72 152588.53 6.76 15.00 119.50
533002.73 153031.25 4.38 10.80 93.25
533105.61 152809.05 5.68 10.30 151.50
533073.60 152370.31 7.66 11.20 146.50
533121.83 152660.73 4.34 9.20 81.50
533423.57 152458.26 4.33 8.80 107.00
532629.45 152015.18 14.05 18.50 244.50
532993.59 152425.10 8.05 15.60 106.75
533172.24 152906.07 6.96 15.50 130.50
532652.08 152092.62 10.20 21.20 34.00
533108.36 153013.97 4.13 8.00 60.00
532781.71 152530.00 6.33 16.50 81.50
533046.52 153196.77 6.03 14.60 243.00
532941.42 152890.98 12.38 17.70 185.75
532694.48 152367.25 4.77 9.10 133.75
533248.11 152575.04 4.18 15.50 46.50
533132.44 152909.89 22.23 26.40 241.25
533444.55 152713.82 10.36 17.00 195.50
532878.30 152352.12 8.87 17.10 92.50
533138.94 152838.53 10.05 17.40 195.00
533287.17 152471.86 10.82 18.00 97.50
533286.86 152661.55 5.45 9.70 208.50
532916.16 152374.43 11.07 16.70 105.50
532659.02 152002.98 16.21 19.90 219.75
533320.35 152655.79 5.46 8.70 206.00
533374.82 152266.75 6.51 9.10 117.00
533375.79 152544.21 6.23 18.50 74.25
533144.65 152370.51 6.44 10.80 128.75
533396.40 152332.62 7.14 10.20 106.00
533067.45 153124.52 8.83 17.40 165.50
533262.44 152716.67 18.54 23.40 191.25
533044.52 152607.12 13.72 19.60 200.75
532809.86 152264.15 5.36 18.20 115.25
533473.97 152456.29 6.21 24.90 106.00
533194.21 152995.07 4.93 7.40 32.75
533164.72 152768.39 8.06 15.80 135.00
532598.99 151990.05 8.85 14.20 178.50
533455.57 152594.54 6.54 12.10 170.25
532999.37 152274.94 5.13 12.60 41.00
